slot_id,doctor_id,service_id,date,start_time,end_time,status,capacity,booked_count,estimated_wait_time,is_telehealth,room
SL00001,D001,SV003,2026-06-02,08:00,08:30,available,1,0,36,no,201
SL00002,D001,SV002,2026-06-02,08:30,08:55,available,1,0,34,no,201
SL00003,D001,SV002,2026-06-02,09:00,09:25,available,1,0,40,no,201
SL00004,D001,SV001,2026-06-02,09:30,10:00,blocked,1,0,,yes,201
SL00005,D001,SV002,2026-06-02,10:00,10:25,available,1,0,25,no,201
SL00006,D001,SV002,2026-06-02,10:30,10:55,available,1,0,32,no,201
SL00007,D001,SV002,2026-06-02,11:00,11:25,available,1,0,25,no,201
SL00008,D001,SV002,2026-06-02,13:30,13:55,available,1,0,31,no,201
SL00009,D001,SV002,2026-06-02,14:00,14:25,available,1,0,20,yes,201
SL00010,D001,SV001,2026-06-02,14:30,15:00,available,1,0,28,no,201
SL00011,D001,SV003,2026-06-02,15:00,15:30,booked,1,1,48,no,201
SL00012,D001,SV003,2026-06-02,15:30,16:00,booked,1,1,32,yes,201
SL00013,D001,SV002,2026-06-02,16:00,16:25,available,1,0,25,no,201
SL00014,D001,SV001,2026-06-02,16:30,17:00,available,1,0,32,no,201
SL00015,D002,SV002,2026-06-02,13:30,13:55,available,1,0,19,no,207
SL00016,D002,SV003,2026-06-02,14:00,14:30,booked,1,1,33,no,207
SL00017,D002,SV002,2026-06-02,14:30,14:55,booked,1,1,31,no,207
SL00018,D002,SV002,2026-06-02,15:00,15:25,available,1,0,26,no,207
SL00019,D002,SV001,2026-06-02,15:30,16:00,blocked,1,0,,no,207
SL00020,D002,SV001,2026-06-02,16:00,16:30,available,1,0,33,no,207
SL00021,D002,SV003,2026-06-02,16:30,17:00,booked,1,1,42,no,207
SL00022,D003,SV003,2026-06-02,08:00,08:30,available,1,0,45,yes,209
SL00023,D003,SV001,2026-06-02,08:30,09:00,available,1,0,38,no,209
SL00024,D003,SV002,2026-06-02,09:00,09:25,available,1,0,35,no,209
SL00025,D003,SV003,2026-06-02,09:30,10:00,booked,1,1,39,no,209
SL00026,D003,SV001,2026-06-02,10:00,10:30,booked,1,1,40,no,209
SL00027,D003,SV001,2026-06-02,10:30,11:00,available,1,0,17,yes,209
SL00028,D003,SV003,2026-06-02,11:00,11:30,booked,1,1,40,yes,209
SL00029,D003,SV002,2026-06-02,13:30,13:55,booked,1,1,36,yes,209
SL00030,D003,SV001,2026-06-02,14:00,14:30,blocked,1,0,,no,209
SL00031,D003,SV001,2026-06-02,14:30,15:00,booked,1,1,41,no,209
SL00032,D003,SV002,2026-06-02,15:00,15:25,available,1,0,30,no,209
SL00033,D003,SV003,2026-06-02,15:30,16:00,available,1,0,29,no,209
SL00034,D003,SV002,2026-06-02,16:00,16:25,booked,1,1,32,no,209
SL00035,D003,SV003,2026-06-02,16:30,17:00,available,1,0,29,no,209
SL00036,D006,SV004,2026-06-02,08:00,08:20,available,1,0,34,no,309
SL00037,D006,SV006,2026-06-02,08:30,08:55,available,1,0,27,no,309
SL00038,D006,SV005,2026-06-02,09:00,09:25,booked,1,1,45,no,309
SL00039,D006,SV004,2026-06-02,09:30,09:50,available,1,0,25,no,309
SL00040,D006,SV006,2026-06-02,10:00,10:25,blocked,1,0,,no,309
SL00041,D006,SV006,2026-06-02,11:00,11:25,booked,1,1,28,no,309
SL00042,D006,SV004,2026-06-02,13:30,13:50,booked,1,1,31,no,309
SL00043,D006,SV005,2026-06-02,14:00,14:25,blocked,1,0,,no,309
SL00044,D006,SV006,2026-06-02,14:30,14:55,available,1,0,26,no,309
SL00045,D006,SV005,2026-06-02,15:00,15:25,available,1,0,19,no,309
SL00046,D006,SV006,2026-06-02,15:30,15:55,available,1,0,10,no,309
SL00047,D006,SV005,2026-06-02,16:00,16:25,blocked,1,0,,no,309
SL00048,D006,SV004,2026-06-02,16:30,16:50,available,1,0,12,no,309
SL00049,D007,SV006,2026-06-02,13:30,13:55,available,1,0,18,no,315
SL00050,D007,SV006,2026-06-02,14:00,14:25,booked,1,1,16,yes,315
SL00051,D007,SV006,2026-06-02,14:30,14:55,available,1,0,10,no,315
SL00052,D007,SV004,2026-06-02,15:00,15:20,available,1,0,10,yes,315
SL00053,D007,SV005,2026-06-02,15:30,15:55,booked,1,1,30,yes,315
SL00054,D007,SV004,2026-06-02,16:00,16:20,available,1,0,28,yes,315
SL00055,D007,SV004,2026-06-02,16:30,16:50,blocked,1,0,,no,315
SL00056,D008,SV004,2026-06-02,13:30,13:50,booked,1,1,39,no,317
SL00057,D008,SV005,2026-06-02,14:00,14:25,blocked,1,0,,no,317
SL00058,D008,SV006,2026-06-02,14:30,14:55,available,1,0,15,no,317
SL00059,D008,SV006,2026-06-02,15:00,15:25,booked,1,1,29,no,317
SL00060,D008,SV006,2026-06-02,15:30,15:55,available,1,0,23,no,317
SL00061,D008,SV006,2026-06-02,16:00,16:25,blocked,1,0,,yes,317
SL00062,D008,SV006,2026-06-02,16:30,16:55,available,1,0,18,yes,317
SL00063,D009,SV008,2026-06-02,13:30,14:00,available,1,0,33,no,110
SL00064,D009,SV009,2026-06-02,14:00,14:25,booked,1,1,32,no,110
SL00065,D009,SV007,2026-06-02,14:30,14:55,available,1,0,17,no,110
SL00066,D009,SV008,2026-06-02,15:00,15:30,available,1,0,17,no,110
SL00067,D009,SV007,2026-06-02,15:30,15:55,available,1,0,24,no,110
SL00068,D009,SV009,2026-06-02,16:00,16:25,blocked,1,0,,no,110
SL00069,D009,SV008,2026-06-02,16:30,17:00,available,1,0,21,no,110
SL00070,D010,SV007,2026-06-02,08:00,08:25,blocked,1,0,,no,101
SL00071,D010,SV007,2026-06-02,08:30,08:55,available,1,0,34,no,101
SL00072,D010,SV008,2026-06-02,09:00,09:30,booked,1,1,62,no,101
SL00073,D010,SV009,2026-06-02,09:30,09:55,available,1,0,33,no,101
