review_id,appointment_id,rating,wait_satisfaction,comment,created_at
FB00001,A00871,5,high,Bác sĩ tư vấn rõ ràng.,2026-06-07 07:15:00
FB00002,A00309,5,high,Đặt lịch online thuận tiện.,2026-05-31 02:00:00
FB00003,A00558,5,high,Đặt lịch online thuận tiện.,2026-05-31 05:30:00
FB00004,A00151,5,high,Bác sĩ tư vấn rõ ràng.,2026-05-26 05:15:00
FB00005,A00213,5,high,Muốn có thêm slot buổi chiều.,2026-06-05 06:00:00
FB00006,A00260,4,low,Muốn có thêm slot buổi chiều.,2026-05-27 02:00:00
FB00007,A00200,4,high,Nhân viên hỗ trợ tốt.,2026-06-03 12:30:00
FB00008,A00804,3,medium,Đặt lịch online thuận tiện.,2026-06-09 04:45:00
FB00009,A00521,5,high,Phòng khám sạch sẽ.,2026-05-29 07:30:00
FB00010,A01109,4,medium,Nhân viên hỗ trợ tốt.,2026-06-11 10:00:00
FB00011,A00044,4,high,Muốn có thêm slot buổi chiều.,2026-05-28 07:00:00
FB00012,A00071,5,medium,Phòng khám sạch sẽ.,2026-05-24 11:45:00
FB00013,A00522,4,medium,Cần cải thiện khâu check-in.,2026-06-07 11:00:00
FB00014,A01066,5,medium,Nhân viên hỗ trợ tốt.,2026-06-17 08:45:00
FB00015,A00606,4,high,Nhân viên hỗ trợ tốt.,2026-06-10 05:15:00
FB00016,A00794,5,high,Muốn có thêm slot buổi chiều.,2026-06-04 14:30:00
FB00017,A00372,4,medium,Đặt lịch online thuận tiện.,2026-06-07 11:00:00
FB00018,A00592,5,low,Phòng khám sạch sẽ.,2026-06-03 03:30:00
FB00019,A00317,4,high,Đặt lịch online thuận tiện.,2026-05-27 03:45:00
FB00020,A00991,4,medium,Bác sĩ tư vấn rõ ràng.,2026-06-11 10:30:00
FB00021,A00762,5,high,Bác sĩ tư vấn rõ ràng.,2026-06-06 00:15:00
FB00022,A00561,5,low,Bác sĩ tư vấn rõ ràng.,2026-06-02 15:15:00
FB00023,A01028,5,medium,Cần cải thiện khâu check-in.,2026-06-15 09:45:00
FB00024,A00739,5,low,Nhân viên hỗ trợ tốt.,2026-06-01 09:15:00
FB00025,A01032,5,high,Nhân viên hỗ trợ tốt.,2026-06-11 14:45:00
FB00026,A00416,4,high,Đặt lịch online thuận tiện.,2026-05-28 07:30:00
FB00027,A00168,5,high,Cần cải thiện khâu check-in.,2026-05-30 13:00:00
FB00028,A01108,5,medium,Muốn có thêm slot buổi chiều.,2026-06-17 04:45:00
FB00029,A00448,3,medium,Phòng khám sạch sẽ.,2026-06-03 05:45:00
FB00030,A00153,5,medium,Phòng khám sạch sẽ.,2026-05-28 05:30:00
FB00031,A00424,5,high,Thời gian chờ hợp lý.,2026-06-09 07:30:00
FB00032,A00880,5,medium,Cần cải thiện khâu check-in.,2026-06-05 12:00:00
FB00033,A00745,5,low,Bác sĩ tư vấn rõ ràng.,2026-06-09 02:00:00
FB00034,A00015,4,high,Muốn có thêm slot buổi chiều.,2026-05-30 11:15:00
FB00035,A00612,4,medium,Cần cải thiện khâu check-in.,2026-06-03 11:30:00
FB00036,A01088,5,medium,Phòng khám sạch sẽ.,2026-06-14 02:15:00
FB00037,A00718,4,high,Bác sĩ tư vấn rõ ràng.,2026-06-07 13:45:00
FB00038,A00090,3,low,Bác sĩ tư vấn rõ ràng.,2026-05-29 13:00:00
FB00039,A00405,5,medium,Đặt lịch online thuận tiện.,2026-06-07 10:45:00
FB00040,A00892,5,medium,Cần cải thiện khâu check-in.,2026-06-13 09:15:00
FB00041,A00245,5,medium,Thời gian chờ hợp lý.,2026-06-03 07:30:00
FB00042,A01030,5,high,Cần cải thiện khâu check-in.,2026-06-08 08:00:00
FB00043,A00374,4,high,Phòng khám sạch sẽ.,2026-06-03 10:00:00
FB00044,A00272,4,high,Thời gian chờ hợp lý.,2026-06-04 12:15:00
FB00045,A00921,5,medium,Bác sĩ tư vấn rõ ràng.,2026-06-04 10:45:00
FB00046,A01018,5,high,Thời gian chờ hợp lý.,2026-06-17 08:15:00
FB00047,A00311,4,high,Nhân viên hỗ trợ tốt.,2026-05-27 06:45:00
FB00048,A00916,4,medium,Cần cải thiện khâu check-in.,2026-06-11 07:45:00
FB00049,A00472,5,medium,Đặt lịch online thuận tiện.,2026-06-05 04:15:00
FB00050,A00765,5,low,Bác sĩ tư vấn rõ ràng.,2026-06-11 07:00:00
FB00051,A00729,4,medium,Cần cải thiện khâu check-in.,2026-06-09 01:30:00
FB00052,A00490,5,high,Cần cải thiện khâu check-in.,2026-06-04 06:15:00
FB00053,A00903,4,low,Thời gian chờ hợp lý.,2026-06-06 07:45:00
FB00054,A00895,4,high,Thời gian chờ hợp lý.,2026-06-12 02:45:00
FB00055,A01060,5,medium,Thời gian chờ hợp lý.,2026-06-15 08:45:00
FB00056,A00610,3,high,Phòng khám sạch sẽ.,2026-06-03 06:30:00
FB00057,A00685,4,high,Cần cải thiện khâu check-in.,2026-06-07 12:30:00
FB00058,A00890,4,low,Cần cải thiện khâu check-in.,2026-06-06 10:30:00
FB00059,A00975,5,medium,Thời gian chờ hợp lý.,2026-06-07 10:00:00
FB00060,A00089,4,high,Đặt lịch online thuận tiện.,2026-05-27 13:15:00
FB00061,A01011,5,medium,Nhân viên hỗ trợ tốt.,2026-06-08 03:00:00
FB00062,A00716,5,high,Đặt lịch online thuận tiện.,2026-06-09 07:30:00
FB00063,A00285,4,high,Bác sĩ tư vấn rõ ràng.,2026-05-31 10:15:00
FB00064,A00188,4,medium,Nhân viên hỗ trợ tốt.,2026-06-03 12:15:00
FB00065,A00714,3,medium,Muốn có thêm slot buổi chiều.,2026-06-02 05:45:00
FB00066,A00384,5,medium,Đặt lịch online thuận tiện.,2026-06-08 10:00:00
FB00067,A00811,5,medium,Thời gian chờ hợp lý.,2026-06-07 09:00:00
FB00068,A00312,5,medium,Đặt lịch online thuận tiện.,2026-06-03 01:30:00
FB00069,A00031,5,medium,Cần cải thiện khâu check-in.,2026-06-02 07:30:00
FB00070,A00982,5,low,Thời gian chờ hợp lý.,2026-06-15 07:30:00
FB00071,A00527,5,high,Cần cải thiện khâu check-in.,2026-06-05 01:45:00
FB00072,A00557,4,medium,Cần cải thiện khâu check-in.,2026-06-12 01:15:00
FB00073,A01129,4,medium,Thời gian chờ hợp lý.,2026-06-16 03:15:00
FB00074,A01021,5,high,Phòng khám sạch sẽ.,2026-06-15 07:30:00
FB00075,A00909,4,medium,Nhân viên hỗ trợ tốt.,2026-06-10 11:30:00
FB00076,A00059,5,medium,Phòng khám sạch sẽ.,2026-05-29 12:15:00
FB00077,A00693,3,high,Bác sĩ tư vấn rõ ràng.,2026-06-08 08:30:00
FB00078,A01012,5,medium,Thời gian chờ hợp lý.,2026-06-04 05:00:00
FB00079,A00721,5,medium,Thời gian chờ hợp lý.,2026-06-03 07:15:00
FB00080,A00964,4,high,Nhân viên hỗ trợ tốt.,2026-06-04 08:45:00
FB00081,A00294,5,low,Nhân viên hỗ trợ tốt.,2026-05-31 08:15:00
FB00082,A00835,5,medium,Thời gian chờ hợp lý.,2026-06-06 06:30:00
FB00083,A00847,4,high,Cần cải thiện khâu check-in.,2026-06-13 02:00:00
FB00084,A00756,5,medium,Phòng khám sạch sẽ.,2026-05-31 07:30:00
FB00085,A00450,5,low,Thời gian chờ hợp lý.,2026-05-30 09:45:00
FB00086,A00619,5,high,Cần cải thiện khâu check-in.,2026-06-09 02:15:00
FB00087,A00868,5,low,Nhân viên hỗ trợ tốt.,2026-06-02 12:45:00
FB00088,A00710,3,medium,Nhân viên hỗ trợ tốt.,2026-06-08 07:15:00
FB00089,A00955,5,high,Đặt lịch online thuận tiện.,2026-06-11 06:45:00
FB00090,A00300,4,medium,Muốn có thêm slot buổi chiều.,2026-06-02 14:45:00
FB00091,A01001,4,high,Cần cải thiện khâu check-in.,2026-06-11 13:00:00
FB00092,A01047,5,high,Muốn có thêm slot buổi chiều.,2026-06-12 08:15:00
FB00093,A00533,5,low,Bác sĩ tư vấn rõ ràng.,2026-05-29 00:45:00
FB00094,A01132,5,high,Muốn có thêm slot buổi chiều.,2026-06-09 07:15:00
FB00095,A00288,5,medium,Phòng khám sạch sẽ.,2026-05-29 16:00:00
FB00096,A00492,5,low,Thời gian chờ hợp lý.,2026-06-04 12:45:00
FB00097,A01098,5,high,Muốn có thêm slot buổi chiều.,2026-06-14 03:00:00
FB00098,A00437,5,high,Đặt lịch online thuận tiện.,2026-06-07 10:15:00
FB00099,A00967,4,high,Thời gian chờ hợp lý.,2026-06-05 11:45:00
FB00100,A00791,5,low,Đặt lịch online thuận tiện.,2026-06-03 07:45:00
FB00101,A00772,5,high,Muốn có thêm slot buổi chiều.,2026-06-05 06:15:00
