service_id,specialty_id,service_name,duration_minutes,base_price,preparation_required,preparation_note,bhyt_supported,private_insurance_supported,self_pay_available,estimated_bhyt_price_note,estimated_private_price_note
SV001,S001,Khám Tim mạch cơ bản,30,520000,no,"Mang theo kết quả điện tim, siêu âm tim hoặc đơn thuốc cũ nếu có.",no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV002,S001,Tư vấn tăng huyết áp,25,450000,no,Nên ghi lại chỉ số huyết áp gần đây.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV003,S001,Tư vấn rối loạn nhịp tim,30,560000,no,Mang kết quả điện tim nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV004,S002,Khám Da liễu tổng quát,20,400000,no,Không bôi thuốc/mỹ phẩm lên vùng da cần khám nếu có thể.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV005,S002,Tư vấn mụn và chăm sóc da,25,430000,no,Mang danh sách mỹ phẩm/thuốc đang dùng.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV006,S002,Khám dị ứng da,25,450000,no,Ghi lại thức ăn/thuốc/mỹ phẩm nghi ngờ gây dị ứng.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV007,S003,Khám Nhi khoa,25,450000,no,Mang sổ tiêm chủng và đơn thuốc gần nhất nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV008,S003,Tư vấn dinh dưỡng trẻ em,30,480000,no,"Chuẩn bị cân nặng, chiều cao và chế độ ăn gần đây.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV009,S003,Khám sốt/ho trẻ em,25,450000,no,"Ghi lại nhiệt độ, thuốc đã dùng và thời điểm sốt.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV010,S004,Khám Tai Mũi Họng,20,390000,no,Không cần chuẩn bị đặc biệt.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV011,S004,Tư vấn viêm xoang/viêm họng,25,420000,no,Mang kết quả nội soi hoặc đơn thuốc cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV012,S004,Khám ù tai/nghe kém,25,430000,no,Ghi lại thời điểm xuất hiện triệu chứng.,no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV013,S005,Khám Tiêu hóa,30,500000,no,Mang kết quả nội soi/xét nghiệm cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV014,S005,Tư vấn đau dạ dày,25,470000,no,"Ghi lại thời điểm đau, thức ăn liên quan và thuốc đã dùng.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
