ticket_id,user_query,reason,status,created_at
T0001,Tool search_available_slots phản hồi quá lâu.,TIMEOUT,resolved,2026-06-15 12:30:00
T0002,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-04 15:30:00
T0003,LLM output sai định dạng JSON action.,PARSER_ERROR,resolved,2026-06-14 15:30:00
T0004,Tôi muốn đặt lịch càng sớm càng tốt nhưng chưa rõ chuyên khoa.,MISSING_INFORMATION,resolved,2026-06-09 13:00:00
T0005,"Tôi thấy khó chịu trong người, không biết khám gì.",AMBIGUOUS_SYMPTOM,resolved,2026-06-08 15:45:00
T0006,Tôi đau ngực dữ dội và khó thở nặng.,EMERGENCY_SYMPTOM,resolved,2026-06-11 11:30:00
T0007,Tôi muốn gặp điều phối viên.,HUMAN_REQUESTED,resolved,2026-06-02 12:30:00
T0008,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-12 11:15:00
T0009,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-14 15:15:00
T0010,Tôi đau ngực dữ dội và khó thở nặng.,EMERGENCY_SYMPTOM,resolved,2026-06-10 12:45:00
T0011,LLM output sai định dạng JSON action.,PARSER_ERROR,resolved,2026-06-04 09:30:00
T0012,Tôi muốn gặp điều phối viên.,HUMAN_REQUESTED,resolved,2026-06-05 09:00:00
T0013,LLM output sai định dạng JSON action.,PARSER_ERROR,resolved,2026-06-11 15:45:00
T0014,Bảo hiểm tư của tôi có chi trả bao nhiêu phần trăm?,PAYMENT_COVERAGE_DETAIL,resolved,2026-06-05 17:45:00
T0015,LLM output sai định dạng JSON action.,PARSER_ERROR,resolved,2026-06-02 13:00:00
T0016,Tôi đau ngực dữ dội và khó thở nặng.,EMERGENCY_SYMPTOM,resolved,2026-06-10 16:30:00
T0017,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-06 16:15:00
T0018,Lỗi truy vấn database khi đặt lịch.,TOOL_RUNTIME_ERROR,resolved,2026-06-15 08:30:00
T0019,"Tôi thấy khó chịu trong người, không biết khám gì.",AMBIGUOUS_SYMPTOM,in_progress,2026-06-05 11:15:00
T0020,Tôi muốn gặp điều phối viên.,HUMAN_REQUESTED,open,2026-06-12 15:45:00
T0021,Tôi muốn đặt lịch càng sớm càng tốt nhưng chưa rõ chuyên khoa.,MISSING_INFORMATION,resolved,2026-06-03 11:30:00
T0022,Tôi muốn gặp điều phối viên.,HUMAN_REQUESTED,open,2026-06-09 10:00:00
T0023,Tôi đau ngực dữ dội và khó thở nặng.,EMERGENCY_SYMPTOM,open,2026-06-08 15:00:00
T0024,"Tôi thấy khó chịu trong người, không biết khám gì.",AMBIGUOUS_SYMPTOM,in_progress,2026-06-05 13:30:00
T0025,Tôi muốn đặt lịch càng sớm càng tốt nhưng chưa rõ chuyên khoa.,MISSING_INFORMATION,resolved,2026-06-15 13:00:00
T0026,Lỗi truy vấn database khi đặt lịch.,TOOL_RUNTIME_ERROR,resolved,2026-06-09 10:45:00
T0027,"Tôi thấy khó chịu trong người, không biết khám gì.",AMBIGUOUS_SYMPTOM,in_progress,2026-06-10 16:45:00
T0028,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-11 08:45:00
T0029,"Tôi chỉ muốn bác sĩ nữ nói tiếng Anh, online, dưới 20 phút chờ.",NO_SLOT_FOUND,open,2026-06-14 14:00:00
T0030,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,resolved,2026-06-14 09:30:00
T0031,Lỗi truy vấn database khi đặt lịch.,TOOL_RUNTIME_ERROR,open,2026-06-14 08:15:00
T0032,Tôi đau ngực dữ dội và khó thở nặng.,EMERGENCY_SYMPTOM,open,2026-06-15 15:15:00
T0033,Bảo hiểm tư của tôi có chi trả bao nhiêu phần trăm?,PAYMENT_COVERAGE_DETAIL,in_progress,2026-06-04 15:45:00
T0034,Tôi muốn gặp điều phối viên.,HUMAN_REQUESTED,resolved,2026-06-03 13:30:00
T0035,Tool search_available_slots phản hồi quá lâu.,TIMEOUT,resolved,2026-06-10 09:15:00
T0036,Lỗi truy vấn database khi đặt lịch.,TOOL_RUNTIME_ERROR,resolved,2026-06-08 13:15:00
T0037,Bảo hiểm tư của tôi có chi trả bao nhiêu phần trăm?,PAYMENT_COVERAGE_DETAIL,open,2026-06-07 12:30:00
T0038,Agent vượt quá số vòng xử lý trong demo.,MAX_STEPS_EXCEEDED,open,2026-06-14 10:15:00
